Title,Author,Abstract
Building a Shared Virtual Learning Culture,"Doreen Starke-Meyerring, Deborah Andrews","Business professionals increasingly use digital tools to collaborate across multiple cultures, locations, and time zones. Success in this complex environment depends on a shared culture that facilitates the making of knowledge and the best contributions of all team members. To prepare managers for such communication, the authors designed and implemented a semester-long intercultural virtual team project between a management communication course in the United States and one in Canada. To prevent faultlines between subgroups on each campus, the authors set a clear outcome for students’ research, established equity between the two sites, structured assignments so that students worked interdependently across sites”, and encouraged inclusive communication. Faculty considering such a partnership should incorporate a robust collaborative workspace, incorporate preliminary exercises before a large project, provide intensive mentoring and instruction on peer review, arrange for a real visit or videoconference betw..."
Impact of Error Labeling on Error Elimination in Business Writing,Zane K. Quible,"This article reports a quasi-experimental study of how error labeling in remediation exercises affects students’ writing performance. Students in five sections of a course in written business communication composed the control group, whereas students in two sections composed the treatment group. On the first letter each group wrote early in the semester—before the treatment group began error labeling in remediation exercises—no significant differences were found in the writing performance of both groups. However, on their last letter written late in the semester, studentsin the treatment group significantly reduced the number of sentence-level errors they made, compared to students in the control group. The improved writing performance of the treatment group is attributed to error labeling in conjunction with error correction in the remediation exercises."
Résumé Writing in Russia and the Newly Independent States,"Betsy Bowen, David Alan Sapp, Nelly Sargsyan","This article examines the teaching of résumé writing at one university in Russia and several institutions in the Newly Independent States (NIS). The authors explore challenges including variable cultural norms for written versus oral communication, severe financial and material hardship in the educational sector, cultural discomfort with the norms of U.S. business writing, issues related to the transition from Soviet-style socialism to Western-style capitalism, and other historical factors that shape expectations for business communication in Russia and the NIS. Recommendations to business writing and communication faculty conclude the article."
Ethics in Conflict,"Michael C. Barnes, Michael Keleher","The past two decades have seen an increased emphasis placed on the relationship between communication and ethics, a subject that philosophers have debated for centuries. An analysis of textbooks as disciplinary artifacts reveals that students enrolled in communication courses across the university are often presented with conflicting or contradictory ethics instruction. Commonly, business and technical communication textbooks advocate a foundational approach toward the subject, whereas interpersonal communication textbooks, as taught within the liberal arts, support a nonfoundational view. Rather than bolstering students’ understanding of the importance of ethical communication, such broad-based contradictions might lead to an overall ambivalence toward the subject. A critical pedagogy—one that acknowledges and explores this tacit disciplinary debate on ethics—would provide students a more comprehensive philosophical and historical basis for determining their own perspectives on ethical communication."
Can We Succeed in Teaching Business Students to Write Effectively?,"Khushwant K. S. Pittenger, Mary C. Miller, Jesse Allison","This article presents the results of a study where business students’ writing skills were assessed using an external objective measure in a business communication course. The student performance was disappointing before instructor intervention. After the intervention, student performance improved noticeably. The implications of the study are discussed for those who teach writing skills."
Powerful or Pointless? Faculty Versus Student Perceptions of PowerPoint Use in Business Education,"Karen E. James, Lisa A. Burke, Holly M. Hutchins","The use of PowerPoint (PPT)–based lectures in business classes across universities is ubiquitous yet understudied in empirical pedagogical research. The purpose of this empirical study was to ascertain whether significant differences exist between faculty and student perceptions with regard to PPT's impact on perceived learning, classroom interactions, and student behaviors. The results indicated that (a) students have a significantly less favorable overall view of PPT's influence on cognitive learning and classroom interaction than faculty members; (b) unlike faculty members, students do not believe that posting notes on the Web will decrease their motivation to attend class; and (c) both faculty members and students perceive that PPT has a favorable impact on notetaking quality, content recall during exams, emphasis on key lecture points, and holding student attention during class. The authors offer implications for instructors and future research."
Literacy in Decline: Untangling the Evidence,Daphne A. Jameson,"National assessments of U.S. high school students' writing and other verbal abilities do not show that literacy has declined substantially in recent years. In fact, scores have been relatively stable since the 1980s. The proportion of students with solid writing and reading abilities has held fairly steady but remained small during the past 25 years. During this period, however, the proportion of high school graduates who enter higher education has soared. Thus, more students with weak verbal abilities now enter college. Initiatives that encourage people to continue their education have succeeded, whereas initiatives to improve writing, reading, and reasoning abilities have not. The complex causes of entering college students' weak verbal abilities include social and cultural forces as well as decisions by educational institutions. By understanding the complicated history of this issue and reframing it in positive terms, business and technical communication faculty can help effect change."
Team Learning and Communication: the Effectiveness of Email-Based Ethics Discussions,"Lucia Peek, George Peek, Maria Roxas, Yves Robichaud, Huguette Blanco","In fall 2003, students from two U.S. universities and a Canadian university participated in an ethics project. One solution to overcome the obstacles to ethics discussions among students who are geographically separated is the use of email as a mode of communication. As a basis for their discussions, the students used the accounting ethics vignette titled “The Error” from the Ar thur Andersen Business Ethics Program. This ar ticle repor ts on the results of the analysis of U.S. and Canadian students' responses to pre- and postquestionnaires concerning the alternatives available to the character in the ethics scenario before and after their written email discussions and group repor ts. The students did have significant changes in their responses after their discussions of the character's alternatives. It also repor ts the students' responses to a project feedback questionnaire concerning the students' perceptions of the importance of ethical training and discussions."
Their Perspectives: ESL Students' Reflections On Collaborative Community Service Learning,"Joanne M. Crossman, Stacey L. Kite","Our business communication classes will continue to be enriched by students from various cultural backgrounds, many of them ESL learners. Among the numerous benefits of this diversity are oppor tunities for all students to develop essential life skills through course-embedded community ser vice learning (CSL) projects. This study analyzes students' guided reflections in response to qualitative probes regarding CSL projects required for all MBA candidates at the study site. Data were gathered during a 5-year period from 326 reflective repor ts. More than 80% of the reflective question responses were authored by international students; approximately 60% of those were ESL learners. The findings reveal differences not only between ESL learners and native speakers of English but also between ESL students. Key themes discussed include cultural sensitivity, teamwork, contributive roles, conflict resolution skills, and pragmatic communication skills. The findings presented are accompanied by students' comments, c..."
An Exploratory Study of Listening Practice Relative to Memory Testing and Lecture in Business Administration Courses,Robin T. Peterson,This study investigates the combined impact of a memory test and subsequent listening practice in enhancing student listening abilities in collegiate business administration courses. The article reviews relevant literature and describes an exploratory study that was undertaken to compare the effectiveness of this technique with traditional lecture. The inquiry provided evidence of the potential value of memory tests and listening practice as pedagogical tools that promote listening ability.
Lessons Learned From Instructional Design Theory: an Application in Management Education,Lisa A. Burke,"Given that many doctoral programs do not provide extensive training on how to present course information in the classroom, the current paper looks to educational psychology theory and research for guidance. Richard Mayer and others' copious empirical work on effective and ineffective instructional design, along with relevant research findings in cognitive science, are summarized and adapted to the management education context. The goal of this article is to enhance instructors' ability to effectively relay course material and to offer specific advice for how instructors can implement prior research findings."
Using a Client Memo to Assess Critical Thinking of Finance Majors,"David Carrithers, John C. Bean","This article describes a holistic, discourse-based method for assessing the critical thinking skills of undergraduate senior-level finance majors. Rejecting a psychometric assessment approach in which component features of critical thinking are disaggregated, this study is based on a holistic scoring of student memos. Students were asked to recommend and justify a course of action to a lay client facing an ill-structured finance problem. Analysis of student memos reveals critical thinking weaknesses that may be ameliorated by changes in assignments or instructional methods. The memos reveal four kinds of critical thinking problems: (a) failure to address the client's problem, (b) random rather than purposeful application of finance tools and methodologies, (c) inability to translate finance concepts or methods into lay language, and (d) inability to construct rhetorically useful graphics. The curricular implications of this study are discussed."
Communicating Across the Curriculum in an Undergraduate Business Program: Management 100—Leadership and Communication in Groups,"Elizabeth A. Tuleja, Anne M. Greenhalgh","Educating undergraduate business students in the 21st century requires more than addressing the quantitative side of business; rather, it calls for including the more qualitative “soft skills,” such as speaking and writing. This article examines the design, delivery, and effectiveness of an undergraduate program dedicated to leadership, teamwork, and communication and describes this program within the context of the communication across the curriculum movement."
Expressive Practices: The Local Enactment of Culture in the Communication Classroom,"Karen Wolf, Trudy Milburn, Richard Wilkins","As students participate in corporate communication classes, they may, on occasion, use the term culture to make sense of their experiences. The authors use Mino's idea of a learning paradigm to shift the emphasis away from teaching traditional theories of culture and use student-centered experiences to teach culture as an expressive practice. Using instances drawn from their own classrooms, the authors show how students can recognize the value of understanding their role in creating culture each time they choose how to act, how to evaluate others' behavior, and whether to label what is going on as cultural."
Integrating Writing Skills and Ethics Training in Business Communication Pedagogy: A Résumé Case Study Exemplar,Cynthia E. Conn,An integrated approach to teaching résumé construction in the business communication classroom focuses on simultaneously (a) emphasizing writing-related proficiencies and (b) encouraging ethical and moral orientations to this task. This article provides a résumé construction exemplar that operationalizes these two pedagogical goals. The techniques and exercises used in the exemplar are presented as a way to make ethics education accessible for both business communication instructors and students.
PowerPoint-Based Lectures in Business Education: An Empirical Investigation of Student-Perceived Novelty and Effectiveness,"Lisa A. Burke, Karen E. James","The use of PowerPoint (PPT)-based lectures in business classes is prevalent, yet it remains empirically understudied in business education research. The authors investigate whether students in the contemporary business classroom view PPT as a novel stimulus and whether these perceptions of novelty are related to students' self-assessment of learning. Results indicate that the degree of novelty that undergraduate business students associate with PPT-based teaching significantly relates to their perceptions of PPT's impact on cognitive learning and classroom interaction. Students' views of PPT as a novel stimulus are also associated with their perception of specific constructive and dysfunctional classroom behaviors and attitudes. The authors discuss their findings and offer implications for instructors and researchers in business education."
Messy Problems and Lay Audiences: Teaching Critical Thinking Within the Finance Curriculum,"David Carrithers, Teresa Ling, John C. Bean","This article investigates the critical thinking difficulties of finance majors when asked to address ill-structured finance problems. The authors build on previous research in which they asked students to analyze an ill-structured investment problem and recommend a course of action. The results revealed numerous critical thinking weaknesses, including a failure to address the client's problem, use analytical tools systematically, construct rhetorically useful graphics, or translate finance concepts and methodologies into lay language. The present research aims to understand more deeply why students struggle with ill-structured problems. Using think-aloud protocols, audiotaped interviews, and other strategies, the authors explore causes of finance students' difficulties and suggest strategies for addressing them. The results suggest that the homework tasks typically given them, such as quantitative problem sets using algorithmic procedures, do not prepare them to confront ill-structured problems requiring ..."
The Effect of Rater Training on Reducing Social Style Bias in Peer Evaluation,Gary L. May,"This study employed a quasiexperimental control group design in a university setting to test the effect of a rater-training program on reducing social style bias in intragroup peer evaluations after controlling for ability based on GPA. Comparison of rating scores of the test group to the control group indicated minimal social style rating bias in the test group, whereas significant bias was exhibited in the control group. Implications for college instructors who use peer evaluations for grading in team projects are discussed."
Students Advise Fortune 500 Company: Designing a Problem-Based Learning Community,"Kathy Brzovic, S. Irene Matz","This article describes the process of planning and implementing a problem-based learning community. Business and communication students from a large university in the Western United States competed in teams to solve an authentic business problem posed by a Fortune 500 company. The company's willingness to adopt some of their recommendations testified to the professional quality of their final product. This experience gave students an opportunity to apply communication concepts to a business problem. They learned how to make vital connections between theory and practice and between shared knowledge and shared knowing. In the process, students grew personally and professionally."
Aspects of Intercultural Awareness Through an MBA Study Abroad Program: Going “Backstage”,Elizabeth A. Tuleja,"Understanding the globalization of business practices is an important area of learning for students studying in master of business administration (MBA) programs today, and many graduate business programs offer study tour programs for experiential learning. This article examines the instructional design of one program and makes recommendations for how to place greater emphasis on intercultural learning in conjunction with business learning. A description of student learning through presurveys and postsurveys, as well as reflections through term papers, is explored."
Merck's Open Letters and the Teaching of Ethos,Frank Griffin,"In fall 2004, Merck faced a significant threat to the company's public image because of the withdrawal of VIOXX, and Merck executives were forced to defend the company's actions, its motivation for those actions, and its reputation. Confronted with enormous rhetorical challenges, Merck tried to generate public goodwill toward the company by creating a personalized image of a corporate giant worthy of understanding, sympathy, and trust. Open letters released during the initial response to the VIOXX crisis rely on the intimacy of interpersonal communication and demonstrate to students of business communication arguments based on ethos. The syntax and diction of these documents are analyzed to demonstrate how they create a secondary narrative of Merck's good sense, good moral character, and goodwill. Finally, the study presents apparently contradictory narratives of this pharmaceutical giant's responsibility, narratives that summarize the arguments in the VIOXX litigation. Analysis of Merck's open letters un..."
Using Critical Praxis to Understand and Teach Teamwork,"David R. Seibold, Paul Kang","The authors pursue three aims in this article. The first is to underscore critical praxis as an especially valuable approach to understanding and enabling teamwork. The second is to offer four dimensions of teamwork—vision, roles, processes, and relationships— as salient areas to interrogate using critical praxis. The third aim is to consider the implications and methods for teaching teamwork in the classroom context. In the process of doing so, the authors highlight limitations of prevailing theoretical approaches and note changes in their own practice of teaching and facilitating teamwork that have occurred through a commitment to critical praxis."
Facilitating Better Teamwork: Analyzing the Challenges and Strategies of Classroom-Based Collaboration,Terri A. Fredrick,"To help students develop teamwork skills, teachers should be aware of the strategies students already employ to assert authority and manage conflict. Researchers studying engineering students have identified two such approaches: transfer-of-knowledge sequences, in which students emulate teacher and pupil roles; and collaborative sequences, in which students use circular talk to reach consensus. As demonstrated in this article, these strategies are also used by students in professional communication courses. The second half of this article provides specific suggestions for designing team assignments, interacting effectively with student teams, and developing evaluations that value the process of teamwork."
"Project Management, Critical Praxis, and Process-Oriented Approach to Teamwork"," Huiling Ding,  Xin Ding","To help alleviate issues of free-riding and conflicts in team projects, this study proposes the systematic incorporation of project management methods to introduce a process-oriented approach to and a critical praxis in team projects. We examined how the systematic use of project management methods influenced students' performance in team projects. The findings demonstrate that such an approach enables the documentation and evaluation of and reflection on both individual and team work. Our findings indicate that project management tools enhance team member accountability and help reduce free-riding."
Teamwork Through Team Building: Face-to-Face to Online,"Julie Staggers, Susan Garcia, Ed Nagelhout","This article describes the ways the authors incorporated team-building activities into our online business writing courses by interrogating the ways that kinesthetic learning translates into the electronic realm. The authors review foundational theories of team building, including Cog's Ladder and Tuckman's Stages, and offer sample exercises they have converted. The authors show how the medium affects the exercises, how the choices made as teachers affect the exercises, and how they adjusted to meet the needs of their students. The authors argue that teamwork most successfully occurs after team building, and too often this team building is lacking in online environments."
"Team Attributes, Processes, and Values: a Pedagogical Framework","Joann Keyton, Stephenson J. Beck","This article proposes a pedagogical framework to help students analyze their group and team interactions. Intersecting five fundamental group attributes (group size, group goal, group member interdependence, group structure, and group identity) with three overarching group processes (leadership, decision making, and conflict management) creates an analytical tool for the examination of team interaction. Furthermore, each group attribute/group process intersection encourages analytical questions targeting assumptions, values, and ethical positions embedded within the group. One advantage of this heuristic device is that it weds team member behaviors with the values members espouse and enact during team interactions. Pedagogical considerations are also discussed."
Teaching Professional Writing To American Students in a Study Abroad Program,"Deborah C. Andrews, Brent Henze","Studying abroad enhances the intercultural competencies of American students, but that enhancement strategy may be seen as an obstacle to those in business and technical fields who follow a tight curriculum and work to cover expenses. To meet their needs, U.S. professional communication faculty are designing short courses that can be delivered abroad during between-term periods and that foster an understanding of the situations and genres of the field within a context of cultural dislocation. Based on the courses described in this article, the best approach is to settle students in one location rather than touring; keep student numbers low by an entrepreneurial approach to keeping costs low; encourage students to live as the locals do, in apartments rather than hotels; explicitly plan appropriate access to technology; use class time to provide structure and reflection, but allow free time for collateral learning; and make sure the course grows local roots."
Writing for the Robot: How Employer Search Tools Have Influenced Résumé Rhetoric and Ethics,"Nicole Amare, Alan Manning","To date, business communication scholars and textbook writers have encouraged résumé rhetoric that accommodates technology, for example, recommending keyword-enhancing techniques to attract the attention of searchbots: customized search engines that allow companies to automatically scan résumés for relevant keywords. However, few scholars have discussed the ethical implications of adjusting résumé keywords for the sole purpose of increasing searchbot hits. As the résumé genre has evolved over the past century, strategies of résumé “padding” have likewise evolved, at each stage violating one of four maxims of the Cooperative Principle. Direct factual misrepresentation violates the maxim of quality and is of course discouraged, but résumé writers have turned in succession to violations of manner (formatting tricks) and then more recently to violations of quantity and/or relevance with deceptive keywording techniques. The authors conclude by suggesting several techniques to business communication instructors..."
Do Business Communication Technology Tools Meet Learner Needs?,"Debbie D. DuFrene, Carol M. Lehman, Franz W. Kellermanns, Rodney A. Pearson","While institutions of higher education are enthusiastically embracing technology-mediated learning (TML), little research has been conducted to identify factors that influence student use of TML tools or determine whether use of them increases student learning. This study of business communication students at two universities found that (1) students tend to be sensing, visual, active, and sequential learners; (2) perceived usefulness and perceived ease of use of TML tools are positively associated with perceived learning success; (3) learning styles do influence the students' usage behavior of certain TML tools; and (4) students' sensing/intuitive learning style is related to their perceived learning success."
Employer Preferences for Résumés and Cover Letters,"Nancy M. Schullery, Linda Ickes, Stephen E. Schullery","This article reports the results of a survey of employers' preferences for résumé style, résumé delivery method, and cover letters. Employers still widely prefer the standard chronological résumé, with only 3% desiring a scannable résumé. The vast majority of employers prefer electronic delivery, either by email (46%) or at the company's Web site (38%), with only 7% preferring a paper copy. Cover letters are preferred by a majority (56%). Preferences regarding résumé style and cover letters were independent of national (USA) vs. multinational geographic range, company size, type of industry, or respondent's job function. Smaller companies prefer résumé delivery by email, and human resources workers prefer delivery using the company's Web site."
Structuring a Competency-Based Accounting Communication Course At the Graduate Level,"Mohsen Sharifi, Gary B. McCombs, Linda Lussy Fraser, Robert K. McCabe","The authors describe a graduate capstone accounting class as a basis for building communication skills desired by both accounting practitioners and accounting faculty. An academic service-learning (ASL) component is included. Adopted as a required class for a master of science degree in accounting at two universities, this course supports accounting accreditation. Surveys offer evidence that both accounting practitioners and faculty rate, in slightly different order, the three most important skills as written communication, oral communication, and analytical/critical thinking. Accounting curricula worldwide are under pressure to develop better skills in these areas as well as to meet assessment and accreditation directives and criteria. The authors designed a communication course utilizing ASL that not only meets all of the above objectives but also provides the student with hands-on experiential learning. Information about this course provides a guide to accounting and business faculty who may wish to pu..."
Trends in Industry Supervisors’ Feedback On Business Communication Internships,"David Alan Sapp, Qin Zhang","The purpose of this empirical study is to explore expectations of industry insiders and identify how student interns are performing in relation to those expectations as defined by 11 performance areas. The results of a survey of 238 industry supervisors were collected over a 5-year period in the departments of English and communication at a private university in the Northeast. While the results suggest that student interns tend to meet their supervisors’ expectations in many areas, performance categories such as initiative, writing skills, and oral communication skills require increased attention in the ways we prepare students for their internships and post-graduation employment and, perhaps, the ways we help onsite supervisors develop expectations for and evaluate our interns."
The Graphic Novel: a “Cool” Format for Communicating to Generation Y,"Jeremy C. Short, Terrie C. Reeves",The graphic novel provides an attractive medium to communicate business concepts with a number of characteristics that may aid student learning in a more effective manner than traditional textbooks. The authors provide an overview of the graphic novel format and use McLuhan’s research on “hot” versus “cool” media as a theoretical base that highlights how and why this format can be a useful tool to present management content relevant for the current generation of business students. The authors provide examples of how the graphic novel medium could be applied to business concepts and conclude with an agenda for future empirical research.
Practitioners’ Views About the Use of Business Email Within Organizational Settings: Implications for Developing Student Generic Competence,"Yunxia Zhu, Catherine White","Although extensive research has been done on teaching emails and on the use of emails in organisations, little research exists about how to incorporate organizational practitioners’ views as the voices of the community of social practice. To remedy this pedagogical gap, this article uses a genre approach to discuss organizational practitioners’ views on the use of email in organizational settings. It also develops seven teaching and learning stages for situated learning and teaching in business communication based upon the presented study findings."
“It Actually Made Me Think”: Problem-Based Learning in the Business Communications Classroom,"Michael Pennell, Libby Miles","We advocate for problem-based learning (PBL) as a rhetorical pedagogy for business communication. Briefly put, classic PBL inverts the typical instructional sequence; rather than presenting concepts first and then asking students to apply them, PBL creates situations in which students must learn the concepts in order to solve a “problem” constructed for that purpose. Thus, students learn in an iterative process as they cycle through the three key questions: “What do we know?” “What do we need to know?” and “How will we learn it?” We advocate emphasizing three key elements inherent in classic PBL: rhetoricity, locality, and change."
The Status of the Business Communication Course at U.S. Colleges and Universities,Travis L. Russ,"This study examines the current status of the introductory business communication course at colleges and universities across the United States. Using data collected during the spring of 2008 from a national sample of 505 instructors, this study reveals a number of pedagogical and programmatic insights about (1) major course sponsors; (2) academic levels at which the course is taught; (3) instructors’ ideal and actual class sizes; (4) use of distance learning; (5) content coverage; and (6) required learning assignments. Findings from this study are compared with results from previous audits. Future research ideas as well as implications for business communication education are presented."
Specific Oral Communication Skills Desired in New Accountancy Graduates,F. Elizabeth Gray,"International research findings and anecdotal evidence alike suggest that new accountancy graduates often begin their careers with inadequate oral communication skills. However, there is a lack of well-grounded empirical data concerning precisely what accountancy employers mean by “oral communication” and what specific skills they value most highly. This article describes a research project investigating the importance of 27 oral communication skills for students intending to begin an accountancy career in New Zealand, as perceived by chartered accountancy professionals. It also examines how frequently accountancy employers are finding these desired skills in new graduates. The findings reported in this study offer important guidance concerning the oral communication skills that new graduates will find most useful in the New Zealand accountancy workplace and suggest useful directions for accountancy students internationally."
Bring Workplace Assessment Into Business Communication Classrooms: a Proposal to Better Prepare Students for Professional Workplaces, Han Yu,"To help students better understand and be better prepared for professional workplaces, the author suggests that business communication teachers examine and learn from workplace assessment methods. Throughout the article, the author discusses the rationale behind this proposal, reviews relevant literature, reports interview findings on workplace assessment, and compares classroom and workplace practices to suggest areas where we can meaningfully bridge the two."
Does Business Writing Require Information Literacy?,"Irvin R. Katz, Catherine Haras, Carol Blaszczynski","Although the business community increasingly recognizes information literacy as central to its work, there remains the critical problem of measurement: How should employers assess the information literacy of their current or potential workers? In this article, we use a commercially available assessment to investigate the relationship between information literacy and the key business communication skill of business writing. Information literacy scores obtained prior to instruction predicted performance in an undergraduate, upper-division business writing course. Similar results emerged regardless of whether participants considered English their best language."
Looking Across the Divide: Analyzing Cross-Disciplinary Approaches for Teaching Business Communication,"Nicole M. Laster, Travis L. Russ","This study elucidates pedagogical differences and similarities between the ways in which instructors from business and communication disciplines teach the introductory business communication course. During the spring of 2008, the authors surveyed 444 instructors teaching this course at colleges and universities across the United States. Their findings highlight several cross-disciplinary commonalities and disparities. The article discusses potential implications for the complementary and contradictory instructional approaches and call for more cross-disciplinary uniformity in contemporary business communication education."
Instructional Interventions for Improving Proofreading and Editing Skills of College Students,Marcella F. Enos,This article summarizes a dissertation study designed to determine the effectiveness of instructional interventions that focus on proofreading and editing skills of first-year college students enrolled in business communication courses. The study used a pretest-posttest quasiexperimental control group design and collected data from 56 participants based on the results of the Grammar and Mechanics Diagnostic Assessment for two experimental groups and a control group. The results of the project were compiled and analyzed using descriptive statistics and a repeated measures analysis of variance.
Students’ Perceived Preference for Visual and Auditory Assessment With E-Handwritten Feedback,"Tena B. Crews, Kelly Wilkinson","Undergraduate business communication students were surveyed to determine their perceived most effective method of assessment on writing assignments. The results indicated students’ preference for a process that incorporates visual, auditory, and e-handwritten presentation via a tablet PC. Students also identified this assessment process would improve their writing by helping them understand the types of errors they were making and why these errors were incorrect. Students also indicated this type of assessment would help build a relationship with the instructor and help them be successful in the class."
Outsourced: Using a Comedy Film to Teach Intercultural Communication,Carol Briam,"Given that feature films can enhance the teaching of intercultural communication, this article describes in detail how the 2006 comedy film, Outsourced, can be integrated into a course. The article relates the film to four different functions of film and shows how Outsourced can help create an intercultural experience for students, serve as the basis for a case analysis of cross-cultural adjustment, give meaning to cultural concepts, and create powerful metaphorical images to expand classroom discussions to broader issues. Also explored are ways the film can be used in teaching advanced intercultural communication concepts."
Unsettling Assumptions and Boundaries: Strategies for Developing a Critical Perspective About Business and Management Communication,"Cheryl Cockburn-Wootten, Tom Cockburn","This article describes how a collaborative class strategy and an introductory activity were used to develop students’ thinking about business and management communication. The article focuses on teachers who want to integrate critical perspectives about business communication into their classes. A course ethos, learning groups, and an introductory activity were used to develop students’ thinking about business and management communication. These strategies encouraged collaborative peer learning in a large bicultural/multicultural lecture environment and developed learning relationships typically found in a small class context. In addition, the activities produced ongoing lecture learning groups in which business students could question their “trained incapacities,” boundaries, and assumptions gained from their experiences of communicating and managing relationships during these activities."
Optimizing Millennials’ Communication Styles,"Jackie L. Hartman, Jim McCambridge","Millennials, those individuals born between 1980 and 2000, compose the largest cohort of college students in the United States. Stereotypical views of millennials characterize them as technologically sophisticated multitaskers, capable of significant contributions to tomorrow’s organizations, yet deficient in communication skills. This article offers insights for business educators to help millennials understand the influence of communication styles when optimizing communication effectiveness. Developing style-typing and style-flexing skills can serve as building blocks for millennials’ subsequent interpersonal skill development in key areas such as audience analysis, active listening, conflict management and negotiation, and effective team building. An in-class exercise highlighting communication style-typing and style-flexing is included."
Teaching Job Interviewing Skills With the Help of Television Shows,Janel Bloch,"Because of its potential for humor and drama, job interviewing is frequently portrayed on television. This article discusses how scenes from popular television series such as Everybody Loves Raymond, Friends, and The Mary Tyler Moore Show can be used to teach effective job interview skills in business communication courses. Television episodes may be used to examine in detail topics commonly covered in textbook discussions of job interviewing, such as attire, behavior, and interview questions; they may also be used to explore topics not typically addressed, such as gender issues and involvement of family members. The use of appropriate television scenes can enhance the job interviewing unit by attracting the students’ attention and generating productive class discussion. The article also provides an overview of the relevant U.S. legality issues."
Tackling the Sustainability Dilemma: A Holistic Approach to Preparing Students for the Professional Organization,Sibylle Mabry,"Increased knowledge of business sustainability as the basis of a holistic approach to value creation has inspired many managers to integrate ecological and social stewardship into their strategic business innovation plans. However, the coverage of sustainability issues in business courses remains small at many universities. This article illustrates how business communication students can become cognitively, behaviorally, and emotionally involved in the analysis and evaluation of the complex sustainability paradigm via an assignment focusing on sustainability. The approach integrates several levels of learning, stretching students’ cognitive skills and enhancing the emotional competencies and behavioral skills needed to enter high-level business jobs."
GMAT-AWA Score as a Predictor of Success in a Managerial Communication Course,"Kathy L. Hill, Geraldine E. Hynes, Marguerite P. Joyce, John S. Green","Because communication skills, especially writing, are such an integral part of managerial work, it may be postulated that these skills are associated with managerial success. Yet evidence of writing competency is not universally considered for admission to MBA programs. The purpose of this study was to investigate the possible correlation between the Analytical Writing Assessment Section (AWA) of the GMAT exam and a “critical thinking” writing assignment that is similar to the AWA. Results indicate that the AWA is significantly correlated with achievement, not only on the writing assignment but also with the final grade in a managerial communication course."
Written and Computer-Mediated Accounting Communication Skills,Christopher G. Jones,"Communication skills are a fundamental personal competency for a successful career in accounting. What is not so obvious is the specific written communication skill set employers look for and the extent those skills are computer mediated. Using survey research, this article explores the particular skills employers desire and their satisfaction level with new hires. Results indicate that basic writing mechanics are the skills in highest demand, followed by effective documentation. Except for email proficiency, employers do not consider computer-mediated communication competencies as important as traditional business communication skills. The article concludes with curricular implications for accounting communication."
Improving Employee Selection With a Revised Resume Format,"Edward W. Wright, Theresa A. Domagalski, Ronald Collins",This study investigates the acceptance of a prototype resume that includes candidate personality assessment information. Data were obtained from hiring managers and human resource professionals in regional chapters of the Society for Human Resource Management. Respondents found the new content useful and that the new information added value when compared with a traditional resume. This study suggests the possibility of improving the effectiveness of candidate screening and selection with the inclusion of such data in a standard resume and may be useful for instructing new business school graduates in the preparation of their professional resumes.
Ethics and Ethos in Financial Reporting,Belinda Crawford Camiciottoli,"In response to ongoing concerns about financial ethics, this study analyzes the speech of company executives in quarterly earnings conference calls to understand strategic usage of ethics-related language. Against the backdrop of the recent global financial crisis, the Aristotelian concept of ethos provides a framework to investigate linguistic features that express ethical stance. Text analysis software was used to produce frequency profiles of features that were then further interpreted qualitatively. Results showed that the executives used a variety of more or less explicit terms to maintain a strong focus on trustworthiness and commitment to moving forward. The findings can inform the development of teaching materials that help learners become more effective communicators in the context of IT-mediated financial reporting."
The Rhetoric of Industrial Espionage,Daphne A. Jameson,"When Starwood Hotels charged Hilton Hotels with industrial espionage, the case hinged on an employment agreement that two executives had violated. The rhetoric of the employment agreement contrasted greatly with that of the corporation’s own code of business conduct. Whereas the private agreement stressed narrow self-interest, the public code emphasized a much broader network of ethical business relationships. This article analyzes the differences between these two types of business discourse in order to help business practitioners align espoused and enacted values."
